Batch_Id,Order_Date,Bean_Type,Freight_Mode,Region,Weight_Kg,Base_Price,Packaging_Type,Discount_Percent,Transport_Days,Handling_Cost,Packaging_Cost,Customs_Fee,Freight_Charge,Warehouse_Location,Export_Country,Import_Country,Total_Revenue,Inventory_Space_Used
BATCH00011,11-01-2020,Excelsa,Air,Africa,471.7437002,3148.88,Big Bag,12.05540178,1,101.16,182.52,286.21,8.6,Mumbai,Cameroon,Sweden,31162.18,0.65
BATCH00012,12-01-2020,Liberica,Sea,Asia,394.5182538,1060.8,Small Bag,12.2673311,22,263.73,140.02,226.34,134.9,Hambantota,Malaysia,Poland,63509.11,12.42
BATCH00013,13-01-2020,Arabica,Air,Central America,367.858606,1001.71,Small Bag,14.68421034,4,105.64,185.79,394.87,92.3,Mombasa,Peru,Turkey,189936.5,44.83
BATCH00014,14-01-2020,Excelsa,Air,Africa,345.069267,3131.07,Large Crate,7.528042965,2,268.56,109.36,367.52,52.6,Hambantota,Mexico,New Zealand,377122.31,25.05
BATCH00015,15-01-2020,Arabica,Air,Central America,255.4349188,765.46,Big Bag,6.824353196,3,211.21,109.47,310.14,82.8,Nairobi,Ghana,South Africa,142871.39,44.66
BATCH00016,16-01-2020,Excelsa,Road,Asia,434.0783866,3202.71,Small Bag,11.30213408,9,193.98,197.59,197.82,109.8,Nairobi,Cameroon,UK,552728.7,36.07
BATCH00017,17-01-2020,Liberica,Sea,South America,119.1579142,1395.75,Small Bag,1.987059845,15,213.91,82.72,277.68,172.2,Hambantota,Ghana,Poland,388164.49,34.21
BATCH00018,18-01-2020,Robusta,Road,South America,302.066532,583.65,Small Bag,8.203732707,6,271.45,121.45,314.97,55.5,Mumbai,Uganda,Norway,37932.44,8.57
BATCH00019,19-01-2020,Robusta,Road,South America,307.5477134,808.9,Small Crate,8.193714002,11,118.05,197.77,482.67,135.4,Mumbai,Brazil,Spain,168159.6,28.67
BATCH00020,20-01-2020,Robusta,Road,Central America,106.5191373,1339.97,Small Crate,1.342096842,5,261.77,66.08,323.64,108.7,Nairobi,Colombia,Thailand,290843.39,53.62
BATCH00021,21-01-2020,Excelsa,Road,Central America,326.9046379,3045.46,Small Crate,6.269761283,8,297.84,96.48,483.57,108.1,Tema,Kenya,Saudi Arabia,621201.13,21.28
BATCH00022,22-01-2020,Excelsa,Road,Africa,512.660349,3025.39,Large Crate,12.79927198,4,220.03,56.57,457.2,84.8,Ho Chi Minh,Kenya,Thailand,476224.93,14.48
BATCH00023,23-01-2020,Robusta,Air,South America,424.8696888,1225.19,Big Bag,12.84230433,4,154.36,92.18,400.74,85.4,Ho Chi Minh,Ivory Coast,South Korea,253004.11,29.88
BATCH00024,24-01-2020,Arabica,Air,Africa,91.0702129,1760.51,Small Crate,1.488564974,3,186.73,146.2,174.24,105.9,Mumbai,Uganda,Singapore,484812.56,27.99
BATCH00025,25-01-2020,Excelsa,Sea,Africa,159.7804925,3293.69,Small Bag,1.360813241,12,155.43,170.39,444.38,99.9,Hambantota,Ghana,Belgium,380242.52,23.59
BATCH00026,26-01-2020,Robusta,Sea,Africa,270.8380829,956.75,Large Crate,3.940432155,20,292.81,153.31,241.92,190.6,Mombasa,Honduras,Russia,244718.32,18.7
BATCH00027,27-01-2020,Liberica,Air,Asia,545.5017961,1119.33,Small Crate,13.12149094,1,162.55,132.65,184.91,57.8,Nairobi,Uganda,Belgium,170853.41,18.81
BATCH00028,28-01-2020,Liberica,Road,South America,107.8607212,1516.69,Small Crate,1.933538776,11,187.37,59.84,143.7,101.2,Nairobi,Honduras,Belgium,163007.39,21.91
BATCH00029,29-01-2020,Robusta,Air,South America,473.4641328,1176.57,Big Bag,10.79995204,4,249.98,92.17,340.66,65,Mombasa,Ghana,Japan,140440.74,17.96
BATCH00030,30-01-2020,Liberica,Sea,Central America,56.71104711,1032.62,Small Crate,1.517484294,20,224.2,198.6,442.05,164.8,Mumbai,Ivory Coast,France,188559.1,32.1
BATCH00031,31-01-2020,Excelsa,Road,Central America,370.2678133,3053.51,Small Crate,9.347067806,9,186.34,114.96,267.78,79.2,Tema,Ethiopia,Belgium,284793.61,12.51
BATCH00032,01-02-2020,Liberica,Sea,Central America,284.5816067,1054.58,Large Crate,5.341009487,19,264.18,65.59,103.73,153.5,Hambantota,Brazil,Spain,188605.05,19.42
BATCH00033,02-02-2020,Robusta,Road,South America,351.0710327,1145.06,Small Bag,11.83370944,3,258.26,155.88,389.78,50.1,Mumbai,Philippines,Germany,98285.42,9.38
BATCH00034,03-02-2020,Excelsa,Road,South America,309.8035482,3428.22,Big Bag,3.505356732,4,193.15,139.37,260.12,79.4,Nairobi,Indonesia,Netherlands,576297.1,13.29
BATCH00035,04-02-2020,Arabica,Road,Asia,453.9755824,400,Small Crate,9.588027441,8,296.18,63.73,298.97,69.1,Mumbai,Liberia,UK,34580.02,13.69
BATCH00036,05-02-2020,Arabica,Road,South America,238.4073392,705.66,Small Bag,3.535238019,12,268.83,100.04,498.45,137.4,Tema,Brazil,Thailand,146464.96,26.3
BATCH00037,06-02-2020,Arabica,Road,Asia,372.895717,1427.36,Big Bag,10.70490425,5,251.61,132.37,107.93,121.3,Hambantota,Tanzania,Egypt,434659.85,53.3
BATCH00038,07-02-2020,Arabica,Road,South America,489.7499343,599.43,Small Crate,13.10517052,6,122.3,51.04,415.44,69.3,Ho Chi Minh,Mexico,Sweden,63732.42,17.43
BATCH00039,08-02-2020,Arabica,Air,Asia,196.5818181,1255.69,Big Bag,1.902026987,3,190.44,108,349.71,43.2,Mumbai,Guatemala,Norway,87834.65,15.85
BATCH00040,09-02-2020,Liberica,Sea,Asia,433.8349815,1499.33,Small Bag,12.99893533,22,126.8,51.47,312.4,151.1,Hambantota,Honduras,New Zealand,186279.21,7.72
BATCH00041,10-02-2020,Arabica,Air,South America,358.0851529,1607.64,Small Crate,8.903628816,2,289.84,195.52,364.56,78.7,Tema,Malaysia,Argentina,256776.62,40.48
BATCH00042,11-02-2020,Arabica,Sea,South America,202.7189134,919.76,Large Crate,1.906657363,11,157.91,106.09,113.54,94.6,Ho Chi Minh,Guatemala,Chile,108795.79,22.59
BATCH00043,12-02-2020,Robusta,Sea,South America,217.6640848,1387.82,Large Crate,6.41312783,25,100.97,97.6,344.31,142.1,Ho Chi Minh,Honduras,Japan,72883.54,7.25
BATCH00044,13-02-2020,Robusta,Road,Africa,189.0083676,926.75,Small Crate,2.412904402,8,218.76,145.74,197.62,94,Mumbai,Ethiopia,Spain,134463.86,22.65
BATCH00045,14-02-2020,Excelsa,Sea,South America,327.4180685,3521.74,Large Crate,10.50521833,12,272.53,153.32,226.69,114.6,Nairobi,Cameroon,Spain,486359.69,29.73
BATCH00046,15-02-2020,Robusta,Road,Asia,394.2983227,818.43,Large Crate,11.38302202,9,291.05,79.76,177.82,103.2,Hambantota,Liberia,Sweden,116841.89,30.1
BATCH00047,16-02-2020,Arabica,Air,Asia,122.3788038,1284.61,Small Crate,1.586947804,1,197.01,87.48,168.42,49.4,Hambantota,Indonesia,Norway,166805.09,11.41
BATCH00048,17-02-2020,Robusta,Road,Central America,353.4407143,1120.2,Small Crate,7.59209779,7,272.65,162.59,375.25,65.9,Hambantota,Papua New Guinea,Japan,105273.29,15.58
BATCH00049,18-02-2020,Robusta,Road,Asia,431.5418201,1028.28,Big Bag,12.21937584,3,187.3,166.26,315.83,80.7,Mombasa,Ivory Coast,Netherlands,174901.52,19.24
BATCH00050,19-02-2020,Liberica,Road,Africa,527.5507883,818.14,Small Bag,14.04244562,9,102.24,103.72,412.74,68.1,Tema,Liberia,USA,47190.54,5.93
BATCH00051,20-02-2020,Robusta,Air,Asia,296.7216331,552.97,Small Bag,7.702768001,1,202.5,107.27,264.47,65.9,Tema,Cameroon,Spain,89162.28,15.6
BATCH00052,21-02-2020,Liberica,Air,South America,501.094812,1092.19,Big Bag,14.25418835,4,128.5,144.94,327.48,103.4,Ho Chi Minh,Malaysia,Saudi Arabia,217908.64,29.4
BATCH00053,22-02-2020,Robusta,Air,South America,403.5931121,936.88,Small Crate,8.035334557,1,198.31,92.11,318.47,96.2,Mombasa,Mexico,Pakistan,215751.96,56.87
BATCH00054,23-02-2020,Excelsa,Road,Central America,219.8743137,3142.57,Small Bag,5.912857419,7,298.06,171.76,174.79,71.9,Hambantota,Ivory Coast,Netherlands,323973.7,13.2
BATCH00055,24-02-2020,Arabica,Road,Central America,519.6491065,400,Big Bag,12.72304693,7,236.54,81.78,318.32,92,Nairobi,Cameroon,Germany,67671.36,35.8
BATCH00056,25-02-2020,Robusta,Air,Asia,321.7890254,758.08,Small Bag,7.394740657,3,284.54,53.91,217.79,103.2,Hambantota,Brazil,Italy,166497.21,17.48
BATCH00057,26-02-2020,Excelsa,Air,South America,283.5784453,3204.06,Small Bag,7.078537658,4,277.56,157.01,219.51,77.9,Hambantota,Uganda,France,444504.64,18.94
BATCH00058,27-02-2020,Liberica,Air,South America,259.7644786,929.32,Big Bag,7.354687341,4,120.64,162.82,302.91,87.2,Tema,Vietnam,USA,159615.67,17.11
BATCH00059,28-02-2020,Arabica,Air,Africa,423.7414355,1914.2,Large Crate,12.70177503,1,261.2,102.01,213.79,38,Mombasa,Kenya,UAE,197313.1,21.78
BATCH00060,29-02-2020,Liberica,Road,Africa,437.4414425,1138,Small Crate,12.47912313,10,141.37,116.02,416.22,112.1,Ho Chi Minh,Ivory Coast,Qatar,178244.62,28.84
BATCH00061,01-03-2020,Arabica,Sea,Central America,274.0812762,400,Small Bag,6.052799887,23,298.48,136.33,391.04,171.4,Nairobi,Ethiopia,Chile,59914.75,16.48
BATCH00062,02-03-2020,Liberica,Air,Africa,280.1604187,1238.76,Small Crate,4.999497898,2,167.69,167.34,178.98,61.3,Mombasa,Honduras,Chile,147704.3,11.83
BATCH00063,03-03-2020,Robusta,Sea,Central America,306.3556478,920.93,Large Crate,7.378920361,20,220.86,100.81,397.38,178.9,Ho Chi Minh,Malaysia,China,221929.25,20.14
BATCH00064,04-03-2020,Robusta,Road,Africa,346.0820868,1107.53,Small Bag,8.591587646,3,149.03,144.44,465.48,89.1,Nairobi,India,Russia,256298.55,30.53
BATCH00065,05-03-2020,Robusta,Air,Africa,203.0522336,828.04,Small Bag,3.575058159,2,276.84,59.8,495.38,94,Ho Chi Minh,India,Sweden,193828.58,28.69
BATCH00066,06-03-2020,Robusta,Sea,South America,481.1186727,674.8,Large Crate,11.90932627,25,262.25,122.53,281.39,207.8,Ho Chi Minh,Vietnam,South Africa,153708.34,35.54
BATCH00067,07-03-2020,Robusta,Air,Africa,351.1573855,635.32,Large Crate,7.297241486,2,253.88,109.8,305.73,51.1,Tema,India,Russia,63688.62,7.03
BATCH00068,08-03-2020,Liberica,Road,South America,180.972223,1132.67,Small Crate,5.010683226,11,133.36,115.9,407.61,91,Tema,Uganda,Netherlands,94396.31,20.69
BATCH00069,09-03-2020,Robusta,Air,South America,133.9657113,859.87,Large Crate,1.602314894,1,198.72,128.31,300.39,64.4,Mumbai,Ghana,Netherlands,121891.91,28.95
BATCH00070,10-03-2020,Arabica,Road,Central America,268.850523,952.74,Small Crate,3.582677406,3,117.79,115.81,382.16,55.5,Nairobi,Tanzania,New Zealand,104796.81,7.71
BATCH00071,11-03-2020,Robusta,Sea,South America,461.3705296,719.21,Small Crate,14.23921758,18,256,78.67,273.47,142.2,Nairobi,Brazil,Japan,110626.82,9.75
BATCH00072,12-03-2020,Liberica,Sea,South America,241.0105036,1158.13,Small Crate,4.576495302,7,189.5,173.55,234.28,89,Ho Chi Minh,Kenya,New Zealand,155660.74,21.97
BATCH00073,13-03-2020,Liberica,Air,Central America,167.44448,1640.14,Small Bag,2.532889341,1,125.7,129.27,428.54,68.6,Hambantota,Colombia,Thailand,329572.17,27.54
BATCH00074,14-03-2020,Liberica,Air,Asia,278.9689767,1260.82,Large Crate,6.910091875,4,203.9,102.94,283.48,75.5,Hambantota,Ethiopia,UK,199930.88,34.74
BATCH00075,15-03-2020,Excelsa,Air,Africa,317.7286171,3182.7,Big Bag,4.60631615,1,171.09,132.42,433.62,48.2,Mombasa,Tanzania,Argentina,324613.46,13.82
BATCH00076,16-03-2020,Arabica,Sea,Central America,117.6634531,1663.24,Big Bag,0.527388754,13,153.75,187.75,207.17,113.9,Tema,India,UAE,202668.1,14.5
BATCH00077,17-03-2020,Liberica,Air,South America,320.9726014,1145.02,Small Crate,4.847178259,4,181.34,144.5,281.14,51.5,Mombasa,Brazil,South Africa,91916.75,18.64
BATCH00078,18-03-2020,Robusta,Air,Asia,345.130241,417.27,Large Crate,8.161629359,4,180.31,149.67,214.93,74.6,Mombasa,Peru,Netherlands,53299.71,31.07
BATCH00079,19-03-2020,Arabica,Road,Asia,371.2833619,1537.63,Small Crate,8.27568558,9,249.36,133.49,434.19,103.5,Nairobi,Guatemala,China,280927.95,25.84
BATCH00080,20-03-2020,Robusta,Road,Central America,231.5904391,804.66,Small Crate,5.348383818,12,180.31,140.46,440.16,81.9,Hambantota,India,Thailand,53785.33,10.68
BATCH00081,21-03-2020,Arabica,Sea,Central America,272.9815565,400,Large Crate,6.709541344,8,280.04,92.97,436.93,83.2,Mumbai,Indonesia,Australia,52098.86,10.92
BATCH00082,22-03-2020,Liberica,Sea,Asia,554.9504397,1047.97,Small Bag,14.48276877,17,275.78,60.5,197.31,123.7,Ho Chi Minh,Ethiopia,China,106141.13,13.58
BATCH00083,23-03-2020,Robusta,Road,Central America,291.1916876,540.37,Small Crate,5.660227158,8,239.11,178.29,451.12,67.9,Mombasa,Kenya,Sweden,46805.3,10.83
BATCH00084,24-03-2020,Robusta,Sea,South America,246.1014193,966.34,Small Crate,3.873402199,19,180.76,180.09,235.53,109.1,Hambantota,Cameroon,France,40624.96,8.6
BATCH00085,25-03-2020,Arabica,Road,Central America,228.3940842,400,Small Bag,3.652005661,7,278.28,117.55,163.74,108.5,Hambantota,Colombia,Pakistan,76751.93,19.45
BATCH00086,26-03-2020,Arabica,Sea,Central America,239.1730294,1234.67,Large Crate,6.866469191,9,178.21,189.51,304.87,121.8,Tema,Cameroon,Germany,223619.21,30.64
BATCH00087,27-03-2020,Robusta,Air,Africa,401.4656331,1109.74,Small Bag,11.39280223,1,183,151.42,355.26,56.9,Mombasa,Mexico,USA,164361.12,16.04
BATCH00088,28-03-2020,Excelsa,Sea,Central America,235.1918272,3153.89,Big Bag,3.089822763,20,226.45,150.37,263.83,160.6,Mombasa,Ghana,South Africa,489754.81,39.51
BATCH00089,29-03-2020,Arabica,Air,Central America,321.2599889,1261.53,Big Bag,10.63944191,3,200.83,70.99,324.7,64.8,Nairobi,Ivory Coast,Norway,179434.06,9.18
BATCH00090,30-03-2020,Liberica,Sea,Asia,124.1477826,1668.69,Big Bag,0.31724735,8,246.49,87.79,161.07,119.2,Mumbai,Cameroon,Bangladesh,391461.92,37.71
BATCH00091,31-03-2020,Robusta,Road,Asia,282.9258351,1358.88,Small Bag,6.28399467,11,135.42,79.67,494.89,124.9,Mumbai,Guatemala,Spain,277789.52,35.01
BATCH00092,01-04-2020,Robusta,Road,Africa,491.6183727,412.5,Big Bag,11.63797598,8,171.36,115.87,314.2,55.6,Mumbai,Brazil,Belgium,14787.11,6.16
BATCH00093,02-04-2020,Arabica,Road,Asia,273.2608894,1354.42,Small Crate,5.080994337,6,128.27,158.02,455.63,90,Mombasa,Guatemala,Germany,218584.53,12.1
BATCH00094,03-04-2020,Arabica,Road,Central America,320.4826817,898.97,Small Bag,8.456056522,5,212.98,196.12,350.49,82,Hambantota,Ivory Coast,Singapore,140925.3,29.21
BATCH00095,04-04-2020,Robusta,Sea,Africa,156.7731529,763.57,Large Crate,3.074688492,15,254.69,198.43,495.17,119.7,Hambantota,Mexico,South Korea,96775.28,8.78
BATCH00096,05-04-2020,Excelsa,Sea,Asia,407.7587524,3247.18,Small Bag,11.12993087,10,116.63,65.07,109.48,123.2,Mumbai,Kenya,Italy,570050.54,14.18
BATCH00097,06-04-2020,Arabica,Sea,Africa,152.5287488,1731.39,Small Bag,0.784186549,10,234.02,165.18,250.16,113,Mombasa,Ivory Coast,Australia,315562.87,15.58
BATCH00098,07-04-2020,Liberica,Road,Asia,368.5335062,965.32,Big Bag,12.78813967,7,258.48,178.54,342.5,62.9,Mombasa,Brazil,Turkey,67386.41,9.14
BATCH00099,08-04-2020,Arabica,Sea,Central America,197.0573461,400,Small Bag,2.972945796,13,223.64,88.02,348.06,113,Ho Chi Minh,Honduras,Norway,45307.28,10.06
BATCH00100,09-04-2020,Robusta,Air,Africa,449.3273849,722.28,Small Crate,13.11597048,1,110.24,185.39,314.66,77.6,Mumbai,Brazil,Bangladesh,137396.79,22.22
BATCH00101,10-04-2020,Liberica,Air,Central America,268.1799235,1026.7,Small Bag,5.28793862,3,217.69,108.98,409.67,57.9,Nairobi,Guatemala,UAE,126937.63,19.41
BATCH00102,11-04-2020,Robusta,Sea,Africa,442.4324978,1028.96,Large Crate,10.84025362,19,232.69,148.81,378.64,149,Tema,Brazil,Thailand,136148.11,10.99
BATCH00103,12-04-2020,Robusta,Sea,Central America,160.5350549,400,Large Crate,4.788379467,10,285.19,64.49,156.73,94.7,Nairobi,Ghana,Canada,54230.89,7.81
BATCH00104,13-04-2020,Robusta,Air,Central America,496.3169307,562.2,Small Bag,13.58867507,3,204.11,86.35,436.13,59.7,Tema,Philippines,Poland,77117.17,28.47
BATCH00105,14-04-2020,Excelsa,Sea,Central America,164.7652243,2869.26,Big Bag,1.899556883,22,181.89,90.89,343.97,192.2,Ho Chi Minh,Colombia,Egypt,635994.71,53.78
BATCH00106,15-04-2020,Excelsa,Sea,Central America,184.7314099,3316.04,Small Bag,2.677796839,25,285.54,122.07,274.91,160.7,Mombasa,India,UK,354304.2,22.25
BATCH00107,16-04-2020,Robusta,Sea,Africa,315.7535087,1086.75,Large Crate,7.395451877,19,203,193.3,270.45,135.8,Tema,Colombia,Egypt,118913.8,9.35
BATCH00108,17-04-2020,Liberica,Air,Central America,75.82792158,1304.46,Big Bag,1.229076586,2,256.7,57.41,281.24,29.5,Hambantota,Ethiopia,Belgium,65511.28,7.77
BATCH00109,18-04-2020,Excelsa,Air,Africa,134.7596816,3232.11,Small Bag,2.939702771,3,268.43,131.31,389.95,84.3,Mumbai,Cameroon,Pakistan,663615.28,32.27
BATCH00110,19-04-2020,Excelsa,Air,Asia,455.7925059,3363,Small Bag,14.15649573,3,204.05,70.89,441.75,81.9,Tema,Brazil,South Korea,674155.95,38.38
BATCH00111,20-04-2020,Arabica,Road,Africa,567.1226261,913.59,Large Crate,14.64734492,12,285.15,78.42,274.8,146.7,Tema,Liberia,Russia,199876.28,22.62
BATCH00112,21-04-2020,Arabica,Road,Africa,263.5381561,555.93,Large Crate,5.64388994,12,225.71,70.46,421.02,98.1,Hambantota,Guatemala,UAE,49313.2,12.32
BATCH00113,22-04-2020,Liberica,Road,Asia,512.8910475,1435.18,Big Bag,13.84929032,8,168.71,158.83,349.99,112.6,Mombasa,Mexico,Chile,270114.85,16.77
BATCH00114,23-04-2020,Robusta,Sea,Africa,259.8964319,757.3,Small Crate,8.172370135,15,144.82,91.5,472.37,106.5,Hambantota,Malaysia,Belgium,58822.55,10.57
BATCH00115,24-04-2020,Excelsa,Road,Asia,219.7039698,3150.27,Small Crate,4.046136988,7,109.14,149,269.15,83.3,Hambantota,Indonesia,Sweden,359496.64,29.2
BATCH00116,25-04-2020,Robusta,Road,Africa,447.7612781,400,Small Bag,10.53598082,6,254.1,157.96,142.21,84.3,Mumbai,Uganda,Singapore,61625.43,18.31
BATCH00117,26-04-2020,Robusta,Air,Central America,304.4138342,687.28,Small Crate,9.883527099,1,181.89,121.28,418.86,34.1,Nairobi,Uganda,Japan,59242.98,10.57
BATCH00118,27-04-2020,Robusta,Sea,Central America,518.3360807,754.77,Big Bag,14.83687979,13,182.35,172.7,236.01,141.5,Ho Chi Minh,Malaysia,Netherlands,168637.59,49.64
BATCH00119,28-04-2020,Robusta,Sea,Africa,140.7538228,742.22,Small Crate,3.975709311,16,213.68,177.46,398.14,151.1,Tema,Peru,Spain,125711.27,34.84
BATCH00120,29-04-2020,Robusta,Air,Africa,381.4126725,400,Big Bag,10.08089254,3,282.74,176.95,483.98,52.8,Hambantota,Liberia,Saudi Arabia,46379.53,18.26
BATCH00121,30-04-2020,Robusta,Air,South America,78.36109488,769.13,Big Bag,0.780356325,1,154.3,190.1,483.19,61.4,Mombasa,Brazil,Bangladesh,101774.06,25.69
BATCH00122,01-05-2020,Liberica,Sea,Africa,170.1861591,895.93,Big Bag,1.70469058,16,159.57,195.37,131.84,164.9,Mombasa,Ivory Coast,USA,202187.35,24.63
BATCH00123,02-05-2020,Excelsa,Sea,South America,110.2252469,3097.93,Big Bag,0.058775624,24,228.84,85.62,111.01,167.4,Mombasa,Peru,UK,420354.05,22.65
BATCH00124,03-05-2020,Arabica,Road,Central America,614.3325268,1017.53,Small Crate,14.99191022,5,252.98,150.96,243.1,100.3,Hambantota,India,Saudi Arabia,224004.31,21.25
BATCH00125,04-05-2020,Arabica,Air,Africa,458.3192713,979.79,Big Bag,12.03410546,2,129.16,150.42,127.96,72.4,Mombasa,Colombia,Russia,160518.57,14.39
BATCH00126,05-05-2020,Robusta,Air,South America,470.9497467,400,Small Crate,11.80084522,1,159.5,199.01,307.64,47.3,Hambantota,Papua New Guinea,Germany,51738.55,8.94
BATCH00127,06-05-2020,Arabica,Air,Asia,301.4913598,459.99,Small Crate,7.645891129,3,269.02,126.65,102.59,53.7,Tema,Honduras,Sweden,49886.48,20.12
BATCH00128,07-05-2020,Robusta,Road,Africa,179.8769547,877.18,Big Bag,4.501006244,4,276.19,122.15,132.21,61.1,Ho Chi Minh,Uganda,Egypt,100353.91,14.22
BATCH00129,08-05-2020,Arabica,Air,Africa,209.8070497,400,Small Bag,2.268964267,1,111.76,167.86,398.67,43.4,Ho Chi Minh,Honduras,China,36654.31,16.14
BATCH00130,09-05-2020,Excelsa,Air,Asia,290.2663852,3237.49,Small Crate,4.270121083,2,268.63,190.83,330.45,31.3,Ho Chi Minh,Honduras,UK,210651.86,11.63
BATCH00131,10-05-2020,Arabica,Sea,South America,304.4698348,2046.42,Large Crate,5.639568329,19,228.1,176.63,458.02,137.3,Nairobi,Ethiopia,Belgium,203867.52,9.55
BATCH00132,11-05-2020,Excelsa,Sea,South America,446.9009498,3187.7,Big Bag,11.34465145,25,257.08,197.25,384.31,195.5,Mumbai,Indonesia,Chile,643200.09,44.66
BATCH00133,12-05-2020,Excelsa,Road,Central America,294.1431273,3426.23,Large Crate,8.094926834,6,135.6,153.04,185.34,91.5,Mumbai,Tanzania,Netherlands,554312.53,22.1
BATCH00134,13-05-2020,Arabica,Sea,Africa,191.9490406,1444.16,Big Bag,1.162254398,19,293.22,69.07,106.89,135.2,Hambantota,Mexico,Singapore,177431.54,24.73
BATCH00135,14-05-2020,Excelsa,Road,Africa,137.0885198,3275.38,Small Crate,0.270435134,8,239.55,154.37,107.79,73.9,Ho Chi Minh,Mexico,Canada,328829.76,6.28
BATCH00136,15-05-2020,Liberica,Air,Asia,247.2934113,1005.14,Small Bag,1.534982693,4,203.23,59.86,354.73,98.9,Mombasa,Ivory Coast,Bangladesh,231912.81,13.93
BATCH00137,16-05-2020,Robusta,Sea,Asia,227.0032237,696.17,Large Crate,6.157480705,11,246.39,113.89,132.06,117.4,Hambantota,Papua New Guinea,Argentina,109441.29,33.84
BATCH00138,17-05-2020,Excelsa,Air,Asia,563.0651377,3154.99,Small Crate,13.99789376,4,278.15,74.29,229.65,75.8,Nairobi,Ivory Coast,Qatar,462935.99,31.29
BATCH00139,18-05-2020,Arabica,Road,Asia,414.2864418,1533.4,Large Crate,9.561037218,11,199.05,88.55,225.01,127.3,Tema,Uganda,Belgium,346735.56,47.05
BATCH00140,19-05-2020,Liberica,Sea,Asia,443.7202949,1114.15,Small Bag,12.0273885,12,105.84,138.18,223.24,81.6,Mombasa,Indonesia,South Korea,70043.68,10.42
BATCH00141,20-05-2020,Robusta,Road,Central America,378.0603115,712.55,Small Bag,6.995618918,11,168.01,71.8,460.12,118,Mumbai,Ethiopia,Netherlands,118890.13,31.48
BATCH00142,21-05-2020,Excelsa,Air,South America,282.8669949,3168.83,Big Bag,5.424991248,1,281.78,71.05,359.01,80.6,Tema,Honduras,France,606101.91,33.48
BATCH00143,22-05-2020,Arabica,Road,Asia,101.9355163,705.42,Small Bag,1.626005591,11,280.1,60.62,186,89.2,Tema,Papua New Guinea,UAE,58893.03,17.42
BATCH00144,23-05-2020,Liberica,Air,Central America,488.2529092,647.7,Small Bag,13.13899533,3,262.33,160.35,117.23,67.8,Tema,Liberia,Turkey,98568.24,13.17
BATCH00145,24-05-2020,Excelsa,Sea,Africa,404.9790727,3207.19,Large Crate,11.74740044,11,188.45,177.11,245.3,132.7,Mumbai,Ivory Coast,Norway,622252.73,40.99
BATCH00146,25-05-2020,Excelsa,Sea,Central America,152.2273581,2991.84,Small Crate,2.521771464,10,188.05,98.55,247.87,83.3,Tema,Papua New Guinea,USA,265057.88,6.17
BATCH00147,26-05-2020,Robusta,Air,South America,365.7085614,1018.56,Small Bag,7.683908458,1,231,71.8,497.08,59.3,Hambantota,Philippines,Japan,155846.37,28.05
BATCH00148,27-05-2020,Robusta,Sea,Asia,368.7823658,1505.72,Big Bag,7.310622119,10,158.04,91.29,160.26,97.7,Hambantota,Vietnam,UK,202990.32,29.46
BATCH00149,28-05-2020,Arabica,Road,Africa,392.3518154,586.87,Small Bag,9.37637329,9,291.3,130.24,284.5,78.9,Ho Chi Minh,India,Germany,59562.99,17.28
